,Unnamed: 0.1,mood,id,title,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1956,1956,calm,1KXDbhj8PUnHnBbPHDZdBV,Lieder,Adel Tawil,0.521,0.671,5,-6.178,0,0.0526,0.318,0.0,0.0962,0.445,183.847,229080,4
1957,1957,calm,5klsN513aq5UOsG2Z4bGXa,tonight,LIE NING,0.761,0.329,11,-12.998,0,0.0909,0.803,0.0,0.0869,0.203,119.949,283596,4
1958,1958,calm,1z1mMZtZW0gvR9FSPc7JpJ,Champion,Elina,0.65,0.171,6,-9.005,1,0.0519,0.921,0.0,0.127,0.284,119.522,173237,4
1959,1959,calm,3UmtRRyDBhjHzaMpG351F0,Need Somebody,Xuitcasecity,0.424,0.647,9,-6.556,1,0.188,0.252,0.0,0.208,0.262,89.793,188220,4
1960,1960,calm,5AZhrTm9YUCOiA3Vl2hQji,Slipped Away,Avril Lavigne,0.449,0.621,7,-4.237,1,0.032,0.00274,4.2e-06,0.117,0.103,160.761,214093,3
1961,1961,calm,1I3kpv0LCThkArWKnXtRb1,Clown,Emeli Sandé,0.443,0.24,7,-8.157,1,0.0354,0.917,0.000284,0.102,0.268,107.662,221227,4
1962,1962,calm,2VlLbhGLVJgdOW7kKdWWFc,Six Feet Under,Billie Eilish,0.576,0.307,11,-12.732,0,0.0428,0.807,0.000355,0.0792,0.157,67.513,189613,4
1963,1963,calm,15f8Cv8RXUlOOCIf2oaceN,Underneath Your Clothes,Shakira,0.616,0.597,8,-5.328,1,0.0415,0.691,0.0,0.104,0.362,165.508,224067,4
1964,1964,calm,2deFH5zveEBEUuURpqTN3C,Quite Miss Home,James Arthur,0.578,0.43,10,-6.396,1,0.0282,0.608,2.67e-06,0.117,0.156,136.824,243187,4
1965,1965,calm,395KzBy0bkb57dEvg6cfzJ,Falling Like The Stars,James Arthur,0.3,0.347,6,-9.542,1,0.0364,0.79,2.14e-06,0.111,0.164,169.361,211653,3
1966,1966,calm,6oO10y1h2VyxJQfomG4CtH,Take Me Home,Jess Glynne,0.558,0.451,9,-6.163,1,0.0388,0.292,0.0,0.101,0.238,150.008,265382,4
1967,1967,calm,72Nsqzk5fhsJ4XocmpBdY5,Brave,Sarah Kreuz,0.394,0.451,3,-7.616,1,0.0344,0.325,0.0,0.085,0.149,149.448,250733,4
1968,1968,calm,3jaUZhLiZOcgoJiGGd3hFD,One Moment in Time,Whitney Houston,0.267,0.571,0,-5.994,1,0.0333,0.422,0.0,0.122,0.304,155.886,284640,4
1969,1969,calm,0STK94RxUulYqWzwFlyAb5,Sober,Demi Lovato,0.397,0.303,1,-10.413,1,0.11,0.798,4.16e-06,0.0824,0.17,170.22,197893,3
1970,1970,calm,5rqyKvOkKWR6LrKOjYKQXx,Mountain,Boundary Run,0.45,0.353,0,-10.866,0,0.0334,0.93,0.0877,0.11,0.151,73.499,182466,4
1971,1971,calm,3MIMKvXfK4bqkJ2wteG5Jq,The Subway Song,Delacey,0.58,0.662,0,-6.208,1,0.0594,0.124,0.000139,0.138,0.403,108.048,241854,4
1972,1972,calm,4jvjzW7Hm0yK4LvvE0Paz9,Falling Down - Bonus Track,XXXTENTACION,0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,196400,4
1973,1973,calm,1hCTxutVVYvggAQcUUUZAT,Put A Little Love On Me,Niall Horan,0.584,0.465,10,-4.88,1,0.0262,0.678,0.0,0.106,0.299,95.969,224586,4
1974,1974,calm,6VzcQuzTNTMFnJ6rBSaLH9,Fine Line,Harry Styles,0.306,0.347,2,-8.5,1,0.0334,0.172,0.00013,0.0485,0.0511,120.996,377960,4
1975,1975,calm,1SKPmfSYaPsETbRHaiA18G,Somewhere Only We Know,Keane,0.448,0.665,9,-4.203,1,0.026,0.06,2.55e-05,0.0828,0.304,172.004,237147,4
1976,1976,calm,0UEy0vG9u6kmFMslgkEtvj,Jar of Hearts,Christina Perri,0.349,0.348,3,-6.142,1,0.0316,0.726,0.0,0.12,0.0886,74.541,246587,4
1977,1977,calm,7jDe24vXWUNX8Jl2hZHrIS,High Hopes,Kodaline,0.488,0.487,4,-6.371,1,0.0305,0.577,0.0,0.193,0.219,77.278,230267,4
1978,1978,calm,7etGs69UCKGxJIHxKFe7BD,River Flows in You,See Siang Wong,0.223,0.183,9,-20.917,1,0.0491,0.988,0.918,0.103,0.186,71.934,173427,3
